DEP,REG
ТСЦ 3249,Kyivs'ka oblast'
ТСЦ 6344,Kharkivs'ka oblast'
ТСЦ 4843,Mykolaivs'ka oblast'
ТСЦ 5151,Odes'ka oblast'
ТСЦ 5348,Poltavs'ka oblast'
ТСЦ 4648,L'vivs'ka oblast'
ТСЦ 7442,Chernihivs'ka oblast'
ТСЦ 7344,Chernivets'ka oblast'
ТСЦ 5344,Poltavs'ka oblast'
ТСЦ 5150,Odes'ka oblast'
ТСЦ 2644,Ivano-Frankivs'ka oblast'
ТСЦ 0542,Vinnyts'ka oblast'
ТСЦ 1844,Zhytomyrs'ka oblast'
ТСЦ 5144,Odes'ka oblast'
ТСЦ 6143,Ternopils'ka oblast'
ТСЦ 2642,Ivano-Frankivs'ka oblast'
ТСЦ 6342,Kharkivs'ka oblast'
ТСЦ 7443,Chernihivs'ka oblast'
ТСЦ 5942,Sums'ka oblast'
ТСЦ 5644,Rivnens'ka oblast'
ТСЦ 6543,Khersons'ka oblast'
ТСЦ 0545,Vinnyts'ka oblast'
ТСЦ 0744,Volyns'ka oblast'
ТСЦ 4646,L'vivs'ka oblast'
ТСЦ 5149,Odes'ka oblast'
ТСЦ 5148,Odes'ka oblast'
ТСЦ 2145,Zakarpats'ka oblast'
ТСЦ 3244,Kyivs'ka oblast'
ТСЦ 1247,Dnipropetrovs'ka oblast'
ТСЦ 2343,Zaporiz'ka oblast'
ТСЦ 7343,Chernivets'ka oblast'
ТСЦ 4845,Mykolaivs'ka oblast'
ТСЦ 2341,Zaporiz'ka oblast'
ТСЦ 6345,Kharkivs'ka oblast'
ТСЦ 4643,L'vivs'ka oblast'
ТСЦ 4647,L'vivs'ka oblast'
ТСЦ 5943,Sums'ka oblast'
ТСЦ 1245,Dnipropetrovs'ka oblast'
ТСЦ 1451,Donets'ka oblast'
ТСЦ 6144,Ternopils'ka oblast'
ТСЦ 4642,L'vivs'ka oblast'
ТСЦ 1246,Dnipropetrovs'ka oblast'
ТСЦ 6541,Khersons'ka oblast'
ТСЦ 6542,Khersons'ka oblast'
ТСЦ 5941,Sums'ka oblast'
ТСЦ 6343,Kharkivs'ka oblast'
ТСЦ 5347,Poltavs'ka oblast'
ТСЦ 5944,Sums'ka oblast'
ТСЦ 2147,Zakarpats'ka oblast'
ТСЦ 5643,Rivnens'ka oblast'
ТСЦ 2143,Zakarpats'ka oblast'
ТСЦ 1444,Donets'ka oblast'
ТСЦ 6347,Kharkivs'ka oblast'
ТСЦ 2146,Zakarpats'ka oblast'
ТСЦ 6142,Ternopils'ka oblast'
РСЦ ГСЦ МВС В Misto Kyiv (ФІЛІЯ),Misto Kyiv
СБДР ГУ НГУ,Misto Kyiv
РСЦ ГСЦ МВС В ЖИТОМИРСЬКІЙ ОБЛАСТІ (ФІЛІЯ),Zhytomyrs'ka oblast'
РСЦ ГСЦ МВС В РІВНЕНСЬКІЙ ОБЛАСТІ (ФІЛІЯ),Rivnens'ka oblast'
РСЦ ГСЦ МВС У ЛЬВІВСЬКІЙ ОБЛАСТІ (ФІЛІЯ),Rivnens'ka oblast'
РСЦ ГСЦ МВС В СУМСЬКІЙ ОБЛАСТІ (ФІЛІЯ),Sums'ka oblast'
РСЦ ГСЦ МВС В ХМЕЛЬНИЦЬКІЙ ОБЛАСТІ (ФІЛІЯ),Khmel'nyts'ka oblast'
РСЦ ГСЦ МВС В ЧЕРНІВЕЦЬКІЙ ОБЛАСТІ (ФІЛІЯ),Chernivets'ka oblast'
РСЦ ГСЦ МВС В КИЇВСЬКІЙ ОБЛАСТІ (ФІЛІЯ),Kyivs'ka oblast'
РСЦ ГСЦ МВС В ЧЕРКАСЬКІЙ ОБЛАСТІ (ФІЛІЯ),Cherkas'ka oblast'
СБДР АДМІНІСТРАЦІЇ ДССТ,Misto Kyiv
РСЦ ГСЦ МВС В ІВАНО-ФРАНКІВСЬКІЙ ОБЛАСТІ (ФІЛІЯ),Ivano-Frankivs'ka oblast'
(4807) ВОЗНЕСЕНСЬКЕ ВРЕР ДАІ,Mykolaivs'ka oblast'
РСЦ ГСЦ МВС В ЧЕРНІГІВСЬКІЙ ОБЛАСТІ (ФІЛІЯ),Chernihivs'ka oblast'
РСЦ ГСЦ МВС В КІРОВОГРАДСЬКІЙ ОБЛАСТІ (ФІЛІЯ),Kirovohrads'ka oblast'
"(4609) ВРЕР ДАІ З ОБСЛУГОВУВАННЯ М. СТРИЙ, СТРИЙСЬКОГО, ЖИДАЧІВСЬКОГО, МИКОЛАЇВСЬКОГО ТА СКОЛІВСЬКОГО РАЙОНІВ ПРИ ГУМВС УКРАЇНИ У ЛЬВІВСЬКІЙ ОБЛАСТІ",L'vivs'ka oblast'
"(6313) ВРЕР ДАІ З ОБСЛУГОВУВАННЯ  ХАРКІВСЬКОГО, ЗМІЇВСЬКОГО ТА НОВОВОДОЛАЗЬКОГО РАЙОНІВ  ГУМВС УКРАЇНИ В ХАРКІВСЬКІЙ ОБЛАСТІ.",Kharkivs'ka oblast'
ТСЦ 1111,Luhans'ka oblast'
ТСЦ 2222,Avtonomna Respublika Krym
ТСЦ 3333,Misto Sevastopol'
